"","x"
"232","5.4.99.17-RXN: (expasy) Squalene--hopene cyclase [5.4.99.17]"
"233","6-CARBOXYHEXANOATE--COA-LIGASE-RXN: (expasy) 6-carboxyhexanoate--CoA ligase [6.2.1.14]"
"234","6-HYDROXYNICOTINATE-REDUCTASE-RXN: (expasy) 6-hydroxynicotinate reductase [1.3.7.1]"
"235","6-PHOSPHO-BETA-GLUCOSIDASE-RXN: (expasy) 6-phospho-beta-glucosidase [3.2.1.86]"
"236","6.1.1.24-RXN: (expasy) Glutamate--tRNA(Gln) ligase [6.1.1.24]"
"237","6.2.1.19-RXN: (expasy) Long-chain-fatty-acid--protein ligase [6.2.1.19]"
"238","6.3.2.7-RXN: (expasy) UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase [6.3.2.7]"
"239","6.3.5.6-RXN: (expasy) Asparaginyl-tRNA synthase (glutamine-hydrolyzing) [6.3.5.6]"
"240","7-ALPHA-HYDROXYSTEROID-DEH-RXN: (expasy) 7-alpha-hydroxysteroid dehydrogenase [1.1.1.159]"
"241","ABC-19-RXN: (expasy) ABC-type molybdate transporter [7.3.2.5]"
"242","ABC-64-RXN: (expasy) ABC-type taurine transporter [7.6.2.7]"
"243","ABC-7-RXN: (expasy) ABC-type sulfate transporter [7.3.2.3]"
"244","ABC-70-RXN: (expasy) ABC-type sulfate transporter [7.3.2.3]"
"245","ACETALD-DEHYDROG-RXN: (expasy) Acetaldehyde dehydrogenase (acetylating) [1.2.1.10]"
"246","ACETATEKIN-RXN: (expasy) AMBIGUOUS [2.7.2.1; 2.7.2.15]"
"247","ACETOACETATE-DECARBOXYLASE-RXN: (expasy) Acetoacetate decarboxylase [4.1.1.4]"
"248","ACETOACETYL-COA-TRANSFER-RXN: (expasy) Butyrate--acetoacetate CoA-transferase [2.8.3.9]"
"249","ACETYL-COA-ACETYLTRANSFER-RXN: (expasy) AMBIGUOUS [2.3.1.16; 2.3.1.9]"
"250","ACETYLHOMOSER-CYS-RXN: (expasy) O-acetylhomoserine aminocarboxypropyltransferase [2.5.1.49]"
"251","ACNEULY-RXN: (expasy) N-acetylneuraminate lyase [4.1.3.3]"
"252","ACYL-COA-HYDROLASE-RXN: (expasy) Acyl-CoA hydrolase [3.1.2.20]"
"253","ACYLAMINOACYL-PEPTIDASE-RXN: (expasy) Acylaminoacyl-peptidase [3.4.19.1]"
"254","ACYLGPEACYLTRANS-RXN: (expasy) Acyl-[acyl-carrier-protein]--phospholipid O-acyltransferase [2.3.1.40]"
"255","ACYLPHOSPHATASE-RXN: (expasy) Acylphosphatase [3.6.1.7]"
"256","ADCLY-RXN: (expasy) Aminodeoxychorismate lyase [4.1.3.38]"
"257","ADDALT-RXN: (expasy) Adenosine deaminase [3.5.4.4]"
"258","ADENINE-DEAMINASE-RXN: (expasy) Adenine deaminase [3.5.4.2]"
"259","ADENODEAMIN-RXN: (expasy) Adenosine deaminase [3.5.4.4]"
"260","ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN: (expasy) Adenosylhomocysteine nucleosidase [3.2.2.9]"
"261","ADENYLATECYC-RXN: (expasy) Adenylate cyclase [4.6.1.1]"
"262","ADENYLYLSULFATE-REDUCTASE-RXN: (expasy) Adenylyl-sulfate reductase [1.8.99.2]"
"263","ADOMET-DMK-METHYLTRANSFER-RXN: (expasy) Demethylmenaquinone methyltransferase [2.1.1.163]"
"264","AGMATINE-DEIMINASE-RXN: (expasy) Agmatine deiminase [3.5.3.12]"
"265","AIRCARBOXY-RXN: (expasy) Phosphoribosylaminoimidazole carboxylase [4.1.1.21]"
"266","ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN: (expasy) Alanine--glyoxylate transaminase [2.6.1.44]"
